Voltage, ChB, Run #4
Time ( s )	Voltage ( V )
0,0000	0,008
0,0250	0,006
0,0500	0,007
0,0750	0,006
0,1000	0,007
0,1250	0,004
0,1500	0,004
0,1750	0,004
0,2000	0,004
0,2250	0,005
0,2500	0,006
0,2750	0,007
0,3000	0,009
0,3250	0,002
0,3500	0,005
0,3750	0,010
0,4000	0,010
0,4250	0,005
0,4500	0,005
0,4750	0,005
0,5000	0,005
0,5250	0,003
0,5500	0,002
0,5750	0,007
0,6000	0,007
0,6250	0,004
0,6500	0,007
0,6750	0,004
0,7000	0,005
0,7250	0,004
0,7500	0,005
0,7750	0,009
0,8000	0,009
0,8250	0,007
0,8500	0,005
0,8750	0,005
0,9000	0,004
0,9250	0,010
0,9500	0,010
0,9750	0,004
1,0000	0,003
1,0250	0,009
1,0500	0,011
1,0750	0,010
1,1000	0,010
1,1250	0,004
1,1500	0,005
1,1750	0,004
1,2000	0,006
1,2250	0,004
1,2500	0,005
1,2750	0,005
1,3000	0,007
1,3250	0,004
1,3500	0,005
1,3750	0,006
1,4000	0,007
1,4250	0,005
1,4500	0,004
1,4750	0,005
1,5000	0,005
1,5250	0,004
1,5500	0,005
1,5750	0,005
1,6000	0,007
1,6250	6,104E-4
1,6500	0,003
1,6750	0,004
1,7000	0,004
1,7250	0,005
1,7500	0,003
1,7750	0,004
1,8000	0,002
1,8250	0,008
1,8500	0,008
1,8750	0,003
1,9000	0,002
1,9250	0,005
1,9500	0,007
1,9750	0,004
2,0000	0,005
2,0250	0,006
2,0500	0,007
2,0750	0,004
2,1000	0,003
2,1250	0,007
2,1500	0,007
2,1750	0,005
2,2000	0,005
2,2250	0,005
2,2500	0,005
2,2750	0,005
2,3000	0,007
2,3250	0,001
2,3500	0,004
2,3750	0,003
2,4000	0,003
2,4250	0,002
2,4500	0,002
2,4750	0,007
2,5000	0,007
2,5250	0,004
2,5500	0,005
2,5750	0,007
2,6000	0,009
2,6250	0,005
2,6500	0,007
2,6750	0,005
2,7000	0,007
2,7250	0,004
2,7500	0,004
2,7750	0,007
2,8000	0,009
2,8250	0,006
2,8500	0,007
2,8750	0,002
2,9000	0,004
2,9250	0,004
2,9500	0,006
2,9750	0,004
3,0000	0,004
3,0250	0,009
3,0500	0,010
3,0750	0,003
3,1000	0,004
3,1250	0,008
3,1500	0,010
3,1750	0,002
3,2000	0,005
3,2250	0,008
3,2500	0,009
3,2750	0,001
3,3000	0,004
3,3250	0,004
3,3500	0,004
3,3750	-0,001
3,4000	-0,001
3,4250	0,002
3,4500	0,003
3,4750	0,005
3,5000	0,006
3,5250	0,004
3,5500	0,005
3,5750	0,007
3,6000	0,010
3,6250	0,001
3,6500	0,002
3,6750	0,006
3,7000	0,005
3,7250	0,001
3,7500	0,002
3,7750	0,001
3,8000	0,029
3,8250	0,027
3,8500	0,002
3,8750	0,002
3,9000	0,007
3,9250	0,007
3,9500	0,005
3,9750	0,006
4,0000	0,002
4,0250	0,005
4,0500	0,009
4,0750	0,010
4,1000	0,003
4,1250	0,004
4,1500	0,006
4,1750	0,005
4,2000	0,005
4,2250	0,006
4,2500	0,008
4,2750	0,007
4,3000	0,004
4,3250	0,007
4,3500	0,004
4,3750	0,006
4,4000	0,004
4,4250	0,004
4,4500	0,007
4,4750	0,007
4,5000	0,005
4,5250	0,004
4,5500	0,010
4,5750	0,009
4,6000	0,004
4,6250	0,007
4,6500	0,005
4,6750	0,008
4,7000	6,104E-4
4,7250	0,002
4,7500	0,005
4,7750	0,006
4,8000	0,005
4,8250	0,005
4,8500	0,004
4,8750	0,005
4,9000	0,007
4,9250	0,007
4,9500	0,004
4,9750	0,005
5,0000	0,009
5,0250	0,010
5,0500	0,005
5,0750	0,005
5,1000	0,009
5,1250	0,007
5,1500	0,005
5,1750	0,007
5,2000	0,000
5,2250	0,001
5,2500	0,004
5,2750	0,005
5,3000	0,005
5,3250	0,004
5,3500	0,006
5,3750	0,005
5,4000	-0,002
5,4250	0,000
5,4500	0,003
5,4750	0,004
5,5000	0,004
5,5250	0,004
5,5500	0,008
5,5750	0,006
5,6000	0,007
5,6250	0,010
5,6500	0,003
5,6750	0,005
5,7000	0,004
5,7250	0,005
5,7500	0,005
5,7750	0,005
5,8000	0,007
5,8250	0,007
5,8500	0,005
5,8750	0,004
5,9000	0,002
5,9250	0,004
5,9500	0,005
5,9750	0,005
6,0000	0,005
6,0250	0,006
6,0500	0,007
6,0750	0,004
6,1000	0,005
6,1250	0,005
6,1500	0,004
6,1750	0,005
6,2000	0,006
6,2250	0,007
6,2500	0,004
6,2750	0,005
6,3000	0,003
6,3250	0,004
6,3500	0,005
6,3750	0,004
6,4000	0,007
6,4250	0,008
6,4500	0,007
6,4750	0,011
6,5000	0,009
6,5250	0,010
6,5500	0,007
6,5750	0,006
6,6000	0,008
6,6250	0,008
6,6500	0,006
6,6750	0,007
6,7000	0,013
6,7250	0,016
6,7500	0,012
6,7750	0,011
6,8000	0,013
6,8250	0,012
6,8500	0,009
6,8750	0,010
6,9000	0,008
6,9250	0,010
6,9500	0,019
6,9750	0,018
7,0000	0,013
7,0250	0,013
7,0500	0,019
7,0750	0,019
7,1000	0,012
7,1250	0,014
7,1500	0,015
7,1750	0,016
7,2000	0,016
7,2250	0,016
7,2500	0,023
7,2750	0,023
7,3000	0,020
7,3250	0,022
7,3500	0,020
7,3750	0,021
7,4000	0,017
7,4250	0,016
7,4500	0,021
7,4750	0,021
7,5000	0,021
7,5250	0,021
7,5500	0,027
7,5750	0,030
7,6000	0,021
7,6250	0,020
7,6500	0,026
7,6750	0,024
7,7000	0,020
7,7250	0,023
7,7500	0,026
7,7750	0,027
7,8000	0,027
7,8250	0,026
7,8500	0,025
7,8750	0,024
7,9000	0,019
7,9250	0,023
7,9500	0,031
7,9750	0,032
8,0000	0,027
8,0250	0,027
8,0500	0,035
8,0750	0,037
8,1000	0,032
8,1250	0,034
8,1500	0,037
8,1750	0,037
8,2000	0,031
8,2250	0,031
8,2500	0,040
8,2750	0,042
8,3000	0,034
8,3250	0,034
8,3500	0,036
8,3750	0,035
8,4000	0,031
8,4250	0,030
8,4500	0,034
8,4750	0,037
8,5000	0,033
8,5250	0,034
