Voltage, ChB, Run #5
Time ( s )	Voltage ( V )
0,0000	0,020
0,0250	0,021
0,0500	0,019
0,0750	0,017
0,1000	0,016
0,1250	0,012
0,1500	0,013
0,1750	0,015
0,2000	0,015
0,2250	0,024
0,2500	0,024
0,2750	0,016
0,3000	0,017
0,3250	0,014
0,3500	0,014
0,3750	0,018
0,4000	0,019
0,4250	0,017
0,4500	0,016
0,4750	0,016
0,5000	0,015
0,5250	0,020
0,5500	0,021
0,5750	0,015
0,6000	0,016
0,6250	0,018
0,6500	0,018
0,6750	0,020
0,7000	0,020
0,7250	0,019
0,7500	0,020
0,7750	0,018
0,8000	0,018
0,8250	0,018
0,8500	0,020
0,8750	0,015
0,9000	0,013
0,9250	0,012
0,9500	0,015
0,9750	0,016
1,0000	0,020
1,0250	0,023
1,0500	0,023
1,0750	0,014
1,1000	0,016
1,1250	0,018
1,1500	0,019
1,1750	0,019
1,2000	0,021
1,2250	0,016
1,2500	0,017
1,2750	0,018
1,3000	0,018
1,3250	0,021
1,3500	0,024
1,3750	0,011
1,4000	0,015
1,4250	0,021
1,4500	0,023
1,4750	0,018
1,5000	0,020
1,5250	0,016
1,5500	0,016
1,5750	0,017
1,6000	0,018
1,6250	0,018
1,6500	0,019
1,6750	0,015
1,7000	0,016
1,7250	0,022
1,7500	0,023
1,7750	0,017
1,8000	0,019
1,8250	0,015
1,8500	0,017
1,8750	0,019
1,9000	0,020
1,9250	0,012
1,9500	0,013
1,9750	0,015
2,0000	0,016
2,0250	0,016
2,0500	0,017
2,0750	0,011
2,1000	0,013
2,1250	0,013
2,1500	0,016
2,1750	0,020
2,2000	0,020
2,2250	0,013
2,2500	0,015
2,2750	0,020
2,3000	0,018
2,3250	0,020
2,3500	0,018
2,3750	0,016
2,4000	0,017
2,4250	0,013
2,4500	0,016
2,4750	0,021
2,5000	0,023
2,5250	0,014
2,5500	0,015
2,5750	0,018
2,6000	0,018
2,6250	0,019
2,6500	0,021
2,6750	0,016
2,7000	0,015
2,7250	0,015
2,7500	0,017
2,7750	0,022
2,8000	0,025
2,8250	0,016
2,8500	0,016
2,8750	0,016
2,9000	0,019
2,9250	0,015
2,9500	0,020
2,9750	0,016
3,0000	0,018
3,0250	0,015
3,0500	0,016
3,0750	0,020
3,1000	0,020
3,1250	0,017
3,1500	0,015
3,1750	0,016
3,2000	0,017
3,2250	0,020
3,2500	0,020
3,2750	0,016
3,3000	0,017
3,3250	0,014
3,3500	0,015
3,3750	0,021
3,4000	0,023
3,4250	0,012
3,4500	0,015
3,4750	0,013
3,5000	0,015
3,5250	0,020
3,5500	0,021
3,5750	0,017
3,6000	0,019
3,6250	0,016
3,6500	0,018
3,6750	0,020
3,7000	0,021
3,7250	0,018
3,7500	0,018
3,7750	0,011
3,8000	0,012
3,8250	0,018
3,8500	0,018
3,8750	0,017
3,9000	0,019
3,9250	0,014
3,9500	0,017
3,9750	0,020
4,0000	0,023
4,0250	0,015
4,0500	0,018
4,0750	0,017
4,1000	0,020
4,1250	0,015
4,1500	0,018
4,1750	0,014
4,2000	0,018
4,2250	0,015
4,2500	0,015
4,2750	0,018
4,3000	0,019
4,3250	0,013
4,3500	0,012
4,3750	0,020
4,4000	0,021
4,4250	0,020
4,4500	0,020
4,4750	0,016
4,5000	0,016
4,5250	0,016
4,5500	0,018
4,5750	0,018
4,6000	0,021
4,6250	0,011
4,6500	0,014
4,6750	0,017
4,7000	0,020
4,7250	0,013
4,7500	0,015
4,7750	0,016
4,8000	0,018
4,8250	0,018
4,8500	0,018
4,8750	0,025
4,9000	0,027
4,9250	0,018
4,9500	0,015
4,9750	0,019
5,0000	0,018
5,0250	0,012
5,0500	0,012
5,0750	0,015
5,1000	0,016
5,1250	0,018
5,1500	0,020
5,1750	0,020
5,2000	0,022
5,2250	0,016
5,2500	0,020
5,2750	0,016
5,3000	0,018
5,3250	0,012
5,3500	0,012
5,3750	0,014
5,4000	0,016
5,4250	0,016
5,4500	0,018
5,4750	0,015
5,5000	0,014
5,5250	0,014
5,5500	0,016
5,5750	0,020
5,6000	0,019
5,6250	0,022
5,6500	0,021
5,6750	0,020
5,7000	0,019
5,7250	0,015
5,7500	0,015
5,7750	0,016
5,8000	0,018
5,8250	0,015
5,8500	0,017
5,8750	0,021
5,9000	0,021
5,9250	0,020
5,9500	0,021
5,9750	0,016
6,0000	0,019
6,0250	0,017
6,0500	0,020
6,0750	0,016
6,1000	0,018
6,1250	0,020
6,1500	0,021
6,1750	0,015
6,2000	0,016
6,2250	0,017
6,2500	0,018
6,2750	0,012
6,3000	0,012
6,3250	0,020
6,3500	0,020
6,3750	0,016
6,4000	0,017
6,4250	0,012
6,4500	0,012
6,4750	0,025
6,5000	0,026
6,5250	0,026
6,5500	0,023
6,5750	0,024
6,6000	0,024
6,6250	0,025
6,6500	0,027
6,6750	0,027
6,7000	0,029
6,7250	0,029
6,7500	0,031
6,7750	0,029
6,8000	0,034
6,8250	0,034
6,8500	0,031
6,8750	0,030
6,9000	0,040
6,9250	0,040
6,9500	0,042
6,9750	0,041
7,0000	0,044
7,0250	0,040
7,0500	0,046
7,0750	0,046
7,1000	0,048
7,1250	0,045
7,1500	0,051
7,1750	0,049
7,2000	0,053
7,2250	0,051
7,2500	0,052
7,2750	0,054
7,3000	0,062
7,3250	0,063
7,3500	0,058
7,3750	0,057
7,4000	0,066
7,4250	0,065
7,4500	0,067
7,4750	0,066
7,5000	0,067
7,5250	0,066
7,5500	0,070
7,5750	0,070
7,6000	0,072
7,6250	0,071
7,6500	0,073
7,6750	0,074
7,7000	0,071
7,7250	0,068
7,7500	0,078
7,7750	0,077
7,8000	0,087
7,8250	0,084
7,8500	0,082
7,8750	0,082
7,9000	0,090
7,9250	0,089
7,9500	0,092
7,9750	0,092
8,0000	0,091
8,0250	0,091
8,0500	0,096
8,0750	0,096
8,1000	0,097
8,1250	0,098
8,1500	0,099
8,1750	0,099
8,2000	0,104
8,2250	0,105
8,2500	0,104
8,2750	0,106
8,3000	0,110
8,3250	0,113
8,3500	0,111
8,3750	0,112
8,4000	0,109
8,4250	0,112
8,4500	0,118
8,4750	0,119
8,5000	0,119
8,5250	0,120
8,5500	0,115
8,5750	0,118
8,6000	0,124
8,6250	0,125
8,6500	0,123
8,6750	0,125
8,7000	0,133
8,7250	0,131
8,7500	0,134
8,7750	0,134
8,8000	0,137
8,8250	0,137
8,8500	0,142
8,8750	0,140
8,9000	0,142
8,9250	0,142
8,9500	0,145
8,9750	0,146
9,0000	0,147
9,0250	0,148
9,0500	0,148
9,0750	0,151
9,1000	0,151
9,1250	0,150
9,1500	0,155
9,1750	0,155
9,2000	0,159
9,2250	0,159
9,2500	0,160
9,2750	0,161
9,3000	0,173
9,3250	0,174
9,3500	0,165
9,3750	0,167
9,4000	0,169
9,4250	0,170
9,4500	0,170
9,4750	0,172
9,5000	0,176
9,5250	0,174
9,5500	0,178
9,5750	0,176
9,6000	0,184
9,6250	0,184
9,6500	0,179
9,6750	0,181
9,7000	0,190
9,7250	0,190
9,7500	0,190
9,7750	0,191
9,8000	0,193
9,8250	0,192
9,8500	0,192
9,8750	0,192
9,9000	0,197
9,9250	0,197
9,9500	0,196
9,9750	0,197
10,0000	0,201
10,0250	0,204
10,0500	0,197
10,0750	0,198
10,1000	0,214
10,1250	0,212
10,1500	0,205
10,1750	0,203
10,2000	0,219
10,2250	0,219
10,2500	0,212
10,2750	0,212
10,3000	0,220
10,3250	0,222
10,3500	0,218
10,3750	0,220
10,4000	0,223
10,4250	0,223
10,4500	0,219
10,4750	0,220
10,5000	0,234
10,5250	0,233
10,5500	0,225
10,5750	0,224
10,6000	0,237
10,6250	0,239
10,6500	0,233
10,6750	0,234
10,7000	0,240
10,7250	0,241
10,7500	0,234
10,7750	0,236
10,8000	0,244
10,8250	0,244
10,8500	0,243
10,8750	0,242
10,9000	0,254
10,9250	0,253
10,9500	0,246
10,9750	0,246
11,0000	0,254
11,0250	0,258
11,0500	0,245
11,0750	0,247
11,1000	0,261
11,1250	0,263
11,1500	0,253
11,1750	0,254
11,2000	0,264
11,2250	0,265
11,2500	0,262
11,2750	0,263
11,3000	0,275
11,3250	0,276
11,3500	0,267
11,3750	0,269
11,4000	0,280
11,4250	0,280
11,4500	0,271
11,4750	0,273
11,5000	0,279
11,5250	0,282
11,5500	0,281
11,5750	0,284
11,6000	0,282
11,6250	0,284
11,6500	0,280
11,6750	0,283
11,7000	0,293
11,7250	0,292
11,7500	0,284
11,7750	0,286
11,8000	0,298
11,8250	0,298
11,8500	0,291
11,8750	0,294
11,9000	0,313
11,9250	0,316
11,9500	0,315
11,9750	0,317
12,0000	0,335
12,0250	0,336
12,0500	0,334
12,0750	0,336
12,1000	0,355
12,1250	0,353
12,1500	0,353
12,1750	0,353
12,2000	0,363
12,2250	0,364
12,2500	0,359
12,2750	0,361
12,3000	0,370
12,3250	0,372
12,3500	0,363
12,3750	0,366
12,4000	0,385
12,4250	0,388
12,4500	0,380
12,4750	0,381
12,5000	0,384
12,5250	0,385
12,5500	0,386
12,5750	0,388
12,6000	0,386
12,6250	0,389
12,6500	0,390
12,6750	0,390
12,7000	0,392
12,7250	0,395
12,7500	0,385
12,7750	0,388
12,8000	0,391
12,8250	0,391
12,8500	0,393
12,8750	0,394
12,9000	0,380
12,9250	0,380
12,9500	0,384
12,9750	0,385
13,0000	0,383
13,0250	0,382
13,0500	0,381
13,0750	0,377
13,1000	0,378
13,1250	0,380
13,1500	0,380
13,1750	0,379
13,2000	0,381
13,2250	0,380
13,2500	0,379
13,2750	0,377
13,3000	0,375
13,3250	0,388
13,3500	0,387
13,3750	0,388
13,4000	0,388
13,4250	0,390
13,4500	0,391
13,4750	0,397
13,5000	0,396
13,5250	0,398
13,5500	0,396
13,5750	0,397
13,6000	0,397
13,6250	0,399
13,6500	0,401
13,6750	0,405
13,7000	0,405
13,7250	0,401
13,7500	0,400
13,7750	0,406
13,8000	0,404
13,8250	0,403
13,8500	0,403
13,8750	0,415
13,9000	0,415
13,9250	0,403
13,9500	0,407
13,9750	0,408
14,0000	0,410
14,0250	0,412
14,0500	0,411
14,0750	0,414
14,1000	0,413
14,1250	0,416
14,1500	0,415
14,1750	0,421
14,2000	0,422
14,2250	0,417
14,2500	0,419
14,2750	0,420
14,3000	0,419
14,3250	0,418
14,3500	0,419
14,3750	0,427
14,4000	0,425
14,4250	0,424
14,4500	0,425
14,4750	0,426
14,5000	0,428
14,5250	0,430
14,5500	0,428
14,5750	0,428
14,6000	0,427
14,6250	0,441
14,6500	0,439
14,6750	0,438
14,7000	0,441
14,7250	0,439
14,7500	0,438
14,7750	0,443
14,8000	0,441
14,8250	0,446
14,8500	0,445
14,8750	0,443
14,9000	0,444
14,9250	0,447
14,9500	0,449
14,9750	0,454
15,0000	0,452
15,0250	0,455
15,0500	0,452
15,0750	0,458
15,1000	0,459
15,1250	0,459
15,1500	0,459
15,1750	0,465
15,2000	0,464
15,2250	0,462
15,2500	0,463
15,2750	0,470
15,3000	0,471
15,3250	0,472
15,3500	0,472
15,3750	0,472
15,4000	0,471
15,4250	0,475
15,4500	0,477
15,4750	0,481
15,5000	0,480
15,5250	0,483
15,5500	0,485
15,5750	0,490
15,6000	0,491
15,6250	0,490
15,6500	0,487
15,6750	0,491
15,7000	0,493
15,7250	0,491
15,7500	0,494
15,7750	0,493
15,8000	0,493
15,8250	0,503
15,8500	0,501
15,8750	0,507
15,9000	0,509
15,9250	0,508
15,9500	0,507
15,9750	0,508
16,0000	0,508
16,0250	0,510
16,0500	0,510
16,0750	0,511
16,1000	0,512
16,1250	0,518
16,1500	0,516
16,1750	0,516
16,2000	0,518
16,2250	0,523
16,2500	0,522
16,2750	0,528
16,3000	0,526
