Voltage, ChA, Run #4
Time ( s )	Voltage ( V )
0,0000	0,044
0,0250	0,042
0,0500	0,045
0,0750	0,041
0,1000	0,042
0,1250	0,042
0,1500	0,043
0,1750	0,040
0,2000	0,041
0,2250	0,040
0,2500	0,041
0,2750	0,041
0,3000	0,042
0,3250	0,040
0,3500	0,042
0,3750	0,042
0,4000	0,042
0,4250	0,042
0,4500	0,042
0,4750	0,040
0,5000	0,040
0,5250	0,041
0,5500	0,043
0,5750	0,041
0,6000	0,042
0,6250	0,040
0,6500	0,041
0,6750	0,040
0,7000	0,039
0,7250	0,038
0,7500	0,042
0,7750	0,040
0,8000	0,040
0,8250	0,041
0,8500	0,043
0,8750	0,040
0,9000	0,042
0,9250	0,043
0,9500	0,043
0,9750	0,042
1,0000	0,042
1,0250	0,040
1,0500	0,042
1,0750	0,042
1,1000	0,042
1,1250	0,039
1,1500	0,044
1,1750	0,041
1,2000	0,043
1,2250	0,041
1,2500	0,043
1,2750	0,040
1,3000	0,043
1,3250	0,041
1,3500	0,042
1,3750	0,042
1,4000	0,042
1,4250	0,038
1,4500	0,040
1,4750	0,040
1,5000	0,042
1,5250	0,041
1,5500	0,042
1,5750	0,040
1,6000	0,042
1,6250	0,042
1,6500	0,043
1,6750	0,041
1,7000	0,043
1,7250	0,040
1,7500	0,042
1,7750	0,041
1,8000	0,042
1,8250	0,039
1,8500	0,042
1,8750	0,041
1,9000	0,042
1,9250	0,042
1,9500	0,045
1,9750	0,041
2,0000	0,042
2,0250	0,041
2,0500	0,040
2,0750	0,039
2,1000	0,043
2,1250	0,040
2,1500	0,043
2,1750	0,043
2,2000	0,039
2,2250	0,040
2,2500	0,043
2,2750	0,040
2,3000	0,043
2,3250	0,043
2,3500	0,042
2,3750	0,042
2,4000	0,041
2,4250	0,040
2,4500	0,042
2,4750	0,042
2,5000	0,041
2,5250	0,042
2,5500	0,042
2,5750	0,040
2,6000	0,043
2,6250	0,042
2,6500	0,041
2,6750	0,042
2,7000	0,041
2,7250	0,039
2,7500	0,043
2,7750	0,041
2,8000	0,042
2,8250	0,040
2,8500	0,044
2,8750	0,041
2,9000	0,041
2,9250	0,040
2,9500	0,042
2,9750	0,042
3,0000	0,040
3,0250	0,040
3,0500	0,044
3,0750	0,041
3,1000	0,041
3,1250	0,040
3,1500	0,043
3,1750	0,042
3,2000	0,043
3,2250	0,041
3,2500	0,044
3,2750	0,042
3,3000	0,041
3,3250	0,040
3,3500	0,044
3,3750	0,042
3,4000	0,042
3,4250	0,040
3,4500	0,042
3,4750	0,041
3,5000	0,042
3,5250	0,042
3,5500	0,041
3,5750	0,038
3,6000	0,044
3,6250	0,042
3,6500	0,041
3,6750	0,042
3,7000	0,042
3,7250	0,038
3,7500	0,042
3,7750	0,040
3,8000	0,042
3,8250	0,041
3,8500	0,042
3,8750	0,040
3,9000	0,042
3,9250	0,040
3,9500	0,044
3,9750	0,041
4,0000	0,041
4,0250	0,044
4,0500	0,043
4,0750	0,040
4,1000	0,043
4,1250	0,042
4,1500	0,043
4,1750	0,043
4,2000	0,043
4,2250	0,040
4,2500	0,043
4,2750	0,040
4,3000	0,042
4,3250	0,040
4,3500	0,042
4,3750	0,042
4,4000	0,044
4,4250	0,043
4,4500	0,044
4,4750	0,042
4,5000	0,042
4,5250	0,040
4,5500	0,042
4,5750	0,042
4,6000	0,043
4,6250	0,042
4,6500	0,045
4,6750	0,041
4,7000	0,042
4,7250	0,042
4,7500	0,040
4,7750	0,040
4,8000	0,043
4,8250	0,040
4,8500	0,042
4,8750	0,040
4,9000	0,044
4,9250	0,043
4,9500	0,041
4,9750	0,040
5,0000	0,038
5,0250	0,040
5,0500	0,042
5,0750	0,040
5,1000	0,040
5,1250	0,040
5,1500	0,040
5,1750	0,043
5,2000	0,039
5,2250	0,042
5,2500	0,042
5,2750	0,038
5,3000	0,040
5,3250	0,039
5,3500	0,039
5,3750	0,041
5,4000	0,040
5,4250	0,042
5,4500	0,042
5,4750	0,041
5,5000	0,040
5,5250	0,040
5,5500	0,041
5,5750	0,040
5,6000	0,040
5,6250	0,040
5,6500	0,038
5,6750	0,042
5,7000	0,041
5,7250	0,039
5,7500	0,041
5,7750	0,043
5,8000	0,040
5,8250	0,043
5,8500	0,040
5,8750	0,041
5,9000	0,040
5,9250	0,041
5,9500	0,040
5,9750	0,044
6,0000	0,040
6,0250	0,042
6,0500	0,040
6,0750	0,041
6,1000	0,040
6,1250	0,043
6,1500	0,040
6,1750	0,042
6,2000	0,040
6,2250	0,040
6,2500	0,040
6,2750	0,042
6,3000	0,040
6,3250	0,043
6,3500	0,043
6,3750	0,043
6,4000	0,042
6,4250	0,044
6,4500	0,044
6,4750	0,043
6,5000	0,045
6,5250	0,043
6,5500	0,043
6,5750	0,045
6,6000	0,044
6,6250	0,045
6,6500	0,045
6,6750	0,048
6,7000	0,048
6,7250	0,044
6,7500	0,044
6,7750	0,047
6,8000	0,045
6,8250	0,048
6,8500	0,046
6,8750	0,048
6,9000	0,046
6,9250	0,048
6,9500	0,047
6,9750	0,050
7,0000	0,048
7,0250	0,048
7,0500	0,050
7,0750	0,049
7,1000	0,048
7,1250	0,051
7,1500	0,048
7,1750	0,050
7,2000	0,049
7,2250	0,049
7,2500	0,049
7,2750	0,050
7,3000	0,050
7,3250	0,049
7,3500	0,051
7,3750	0,053
